"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"fam-5c7e980bd296","KAWOLA VELO","Muebles Style Spain","Hogar | Sillas y sillones","4","4","0","0","configurador","Color (visual)","Color: Blanco / Gris / Gris-verde / Gris piedra"
"fam-fdf9c3c85751","KAWOLA VILNIUS","Muebles Style Spain","Hogar | Sofás","3","3","0","0","configurador","Color (visual) | Medida (buttons)","Color: Negro / Coñac | Medida: 99.0 x 166.0 x 85.0cm / 99.0 x 206.0 x 85.0cm"
"fam-a138406ffb82","KAWOLA VINCE","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","3","3","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Gris / Gris claro | Medida: 58.0 x 45.0 x 105.0cm / 58.0 x 46.0 x 121.0cm | Tejido o material: Microfibra / Tejido"
"fam-f54d3047bb1b","KAWOLA VINCE","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","2","2","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Gris / Gris claro | Tejido o material: Microfibra / Tejido"
"fam-07dbb400b5cd","KAWOLA VINCE","Muebles Style Spain","Hogar | Sillas y sillones","2","2","0","0","configurador","Color (visual) | Medida (buttons)","Color: Azul claro / Gris claro | Medida: 52.0 x 58.0 x 90.0cm / 58.0 x 60.0 x 92.0cm"
"fam-3f028889c890","KAWOLA VINO","Muebles Style Spain","Hogar | Mesas y escritorios","6","6","0","0","configurador","Color (visual) | Medida (buttons)","Color: Plata / Oro rosa | Medida: 65.0 x 65.0 x 111.0cm / 80.0 x 80.0 x 111.0cm / 90.0 x 90.0 x 111.0cm"
"fam-0d34ebc096e9","KAWOLA VIVIEN","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","17","17","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Plata / Blanco / Beige / Verde / Verde oliva / Antracita / Gris / Rosa / Arena / Negro / Morado / Esmeralda / Piedra / Curry / Gris rosado | Tejido o material: Pana / Terciopelo"
"fam-159a9b1c3a24","KAWOLA VIVIEN","Muebles Style Spain","Hogar | Sillas y sillones","17","17","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Plata / Blanco / Beige / Verde / Verde oliva / Antracita / Gris / Rosa / Arena / Negro / Morado / Esmeralda / Piedra / Curry / Gris rosado | Tejido o material: Pana / Terciopelo"
"fam-e043aeebb489","KAWOLA VIVIEN","Muebles Style Spain","Hogar | Sofás","34","17","17","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Plata / Blanco / Beige / Verde / Verde oliva / Antracita / Gris / Rosa / Esmeralda / Piedra / Curry / Gris rosado / Arena / Negro / Morado | Tejido o material: Pana / Terciopelo"
"fam-d003031c849b","KAWOLA VIVIEN","Muebles Style Spain","Hogar | Sofás","34","17","17","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Arena / Negro / Morado / Verde oliva / Esmeralda / Plata / Piedra / Curry / Gris rosado / Blanco / Beige / Verde / Antracita / Gris / Rosa | Tejido o material: Terciopelo / Pana"
"fam-b68c5c243740","KAWOLA VIVIEN","Muebles Style Spain","Hogar | Sofás","17","17","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Piedra / Arena / Negro / Morado / Verde oliva / Esmeralda / Plata / Curry / Gris rosado / Beige / Blanco / Verde / Antracita / Gris / Rosa | Tejido o material: Terciopelo / Pana"
"fam-b793dced81f7","KAWOLA WIOLO","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","10","10","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Verde musgo / Coñac / Antracita / Topo / Blanco crema / Gris / Negro / Camello / Marrón oscuro | Tejido o material: Terciopelo / Tejido / Piel"
"fam-15a11b6646fe","KAWOLA WIOLO","Muebles Style Spain","Hogar | Sofás","36","27","9","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Antracita / Coñac / Verde musgo / Topo / Blanco crema / Gris / Camello / Marrón oscuro | Medida: 110.0 x 240.0 x 80.0cm / 240.0 x 350.0 x 80.0cm / 110.0 x 240.0 x 83.0cm / 350.0 x 350.0 x 80.0cm / 240.0 x 350.0 x 83.0cm / 350.0 x 350.0 x 83.0cm | Tejido o material: Terciopelo / Piel"
"fam-8541e3039a04","KAWOLA WIOLO","Muebles Style Spain","Hogar | Textiles y cojines","6","6","0","0","configurador","Color (visual)","Color: Verde musgo / Coñac / Antracita / Topo / Blanco crema / Gris"
"fam-ce3db6f40505","KAWOLA WIOLO SOFT","Muebles Style Spain","Hogar | Sofás","47","35","12","0","configurador","Color (visual) | Medida (buttons)","Color: Gris claro / Blanco crema / Rosa / Gris / Topo | Medida: 46.0 x 83.0 x 41.0cm / 111.0 x 111.0 x 43.0cm / 111.0 x 111.0 x 84.0cm / 111.0 x 222.0 x 84.0cm / 111.0 x 333.0 x 84.0cm / 222.0 x 222.0 x 84.0cm / 222.0 x 333.0 x 84.0cm / 333.0 x 333.0 x 84.0cm"
"fam-98946b382e8c","KAWOLA WOODY","Muebles Style Spain","Hogar | Mesas y escritorios","14","8","6","0","configurador","Color (visual) | Medida (buttons)","Color: Colores de madera / Marrón | Medida: 100.0 x 200.0 x 78.0cm / 100.0 x 220.0 x 78.0cm / 100.0 x 240.0 x 78.0cm / 100.0 x 260.0 x 78.0cm / 100.0 x 280.0 x 78.0cm / 100.0 x 300.0 x 78.0cm"
"fam-44cb59e82a76","KAWOLA WOODY","Muebles Style Spain","Hogar | Mesas y escritorios","3","3","0","0","configurador","Color o diseño (visual) | Medida (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Medida: 100.0 x 200.0 x 78.0cm / 100.0 x 300.0 x 78.0cm"
"fam-8d925c45786b","KAWOLA YORK","Muebles Style Spain","Hogar | Sofás","6","6","0","0","configurador","Color o diseño (visual) | Medida (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 / Diseño 5 | Medida: 180.0 x 284.0 x 85.0cm / 111.0 x 284.0 x 105.0cm"
"fam-010c7e078d41","KAWOLA ZAJA","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","13","13","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Negro / Petróleo / Gris / Blanco crema / Coñac / Blanco / Marrón oscuro / Verde oliva | Medida: 59.0 x 57.0 x 114.0cm / 59.0 x 57.0 x 103.0cm | Tejido o material: Piel sintética / Terciopelo / Microfibra / Plástico"
